Time,Speed,RPM,Throttle Position
98617,8.68,732,0.784313725
98769,8.06,725,0.784313725
98920,7.44,706,0.784313725
99072,6.82,706,0.784313725
99223,6.2,721,0.784313725
99376,5.58,735,0.784313725
99528,4.96,783,0.784313725
99680,3.72,826,0.784313725
99830,3.1,814,0.784313725
99981,2.48,816,0.784313725
100133,1.86,815,0.784313725
100283,1.24,816,0.784313725
100435,1.24,770,0.784313725
100588,0.62,775,0.784313725
100739,0.62,769,0.784313725
100890,0,793,0.784313725
101598,0,800,0.784313725
101648,0.62,1216,1.176470588
101800,1.86,1178,1.176470588
101951,3.1,1111,1.176470588
102104,3.72,1011,1.176470588
102254,4.96,1000,1.176470588
102405,5.58,1182,1.176470588
102556,5.58,1295,1.176470588
102708,6.82,1360,1.176470588
102860,6.82,1497,1.176470588
103011,7.44,1624,1.176470588
103163,8.06,1751,1.176470588
103314,9.3,1868,1.176470588
103466,9.92,1948,1.176470588
103619,10.54,1987,0.784313725
103770,9.92,2119,0.784313725
103922,9.3,2051,0.784313725
104073,9.3,1874,1.176470588
104224,9.3,1544,1.176470588
104377,9.3,1417,1.176470588
104529,9.92,1180,1.176470588
104681,10.54,1272,1.176470588
104832,10.54,1343,1.568627451
104983,11.16,1344,1.568627451
105134,11.78,1491,1.568627451
105286,12.4,1500,1.568627451
105437,13.02,1638,1.568627451
105589,14.26,1690,1.568627451
105741,14.88,1800,1.960784314
105894,16.12,1885,1.960784314
106044,17.36,2022,1.960784314
106197,17.98,2048,1.960784314
106348,19.22,2188,1.960784314
106499,19.84,2253,1.960784314
106651,20.46,2357,1.960784314
106802,21.7,2424,1.960784314
106953,22.32,2524,1.568627451
107104,22.94,2570,1.568627451
107255,23.56,2612,0.784313725
107406,24.18,2565,0.784313725
107558,24.8,2585,0.784313725
107710,24.8,2442,0.784313725
107863,24.18,2249,0.784313725
108014,24.18,2067,0.784313725
108164,24.18,1885,0.784313725
108316,24.18,1711,0.784313725
108467,24.18,1534,0.784313725
108618,23.56,1354,0.784313725
108768,23.56,1171,0.784313725
108920,23.56,1022,0.784313725
109072,23.56,889,0.784313725
109222,23.56,930,0.784313725
109374,22.94,989,0.784313725
109527,22.94,1030,0.784313725
109677,22.94,1044,0.784313725
109828,22.94,1043,0.784313725
109979,22.94,1042,0.784313725
110130,22.32,1045,0.784313725
110282,22.32,1047,0.784313725
110433,22.32,1043,0.784313725
110583,22.32,1029,0.784313725
110734,21.7,1014,0.784313725
110884,21.7,990,0.784313725
111035,21.08,961,0.784313725
111188,21.08,937,0.784313725
111340,20.46,907,0.784313725
111491,20.46,879,0.784313725
111643,19.84,859,0.784313725
111795,19.22,847,0.784313725
111947,19.22,824,0.784313725
112099,18.6,808,0.784313725
112250,18.6,787,0.784313725
112402,17.98,776,0.784313725
112553,17.98,763,0.784313725
112705,17.98,765,0.784313725
112856,17.36,763,0.784313725
113007,17.36,758,0.784313725
113159,17.36,745,0.784313725
113310,16.74,739,0.784313725
113462,16.74,743,0.784313725
113612,16.12,747,0.784313725
113764,16.12,759,0.784313725
113917,15.5,772,0.784313725
114068,14.88,795,0.784313725
114219,14.26,811,0.784313725
114370,14.26,823,0.784313725
114521,13.64,833,0.784313725
114672,13.02,843,0.784313725
114823,12.4,846,0.784313725
114975,12.4,845,0.784313725
115126,11.78,837,0.784313725
115279,11.16,833,0.784313725
115431,10.54,825,0.784313725
115583,9.92,821,0.784313725
115734,9.92,812,0.784313725
115884,9.3,807,0.784313725
116035,8.68,806,0.784313725
116186,8.68,805,0.784313725
116338,8.06,804,0.784313725
116489,8.06,792,0.784313725
116640,7.44,786,0.784313725
116794,7.44,772,0.784313725
116945,6.82,768,0.784313725
117098,6.82,756,0.784313725
117250,6.2,742,0.784313725
117401,5.58,735,0.784313725
117553,5.58,732,0.784313725
117705,4.96,731,0.784313725
117858,4.34,728,0.784313725
118009,4.34,721,0.784313725
118160,3.72,708,0.784313725
118311,3.72,644,0.784313725
118464,3.1,639,0.784313725
118614,2.48,651,0.784313725
118766,2.48,642,0.784313725
118917,1.86,640,0.784313725
119068,1.86,641,0.784313725
119219,1.24,636,0.784313725
119370,1.24,629,0.784313725
119522,0.62,629,0.784313725
119674,0.62,617,0.784313725
119825,0.62,622,0.784313725
119976,0,611,0.784313725
134322,0,612,0.784313725
134372,0.62,873,0.784313725
134523,1.86,886,0.784313725
134675,2.48,806,0.784313725
134826,3.1,720,0.784313725
134977,4.34,884,0.784313725
135128,4.34,1091,1.176470588
135279,4.96,1019,1.176470588
135431,5.58,1187,1.176470588
135582,6.2,1366,1.176470588
135733,6.82,1377,1.176470588
135884,7.44,1481,1.176470588
136035,8.06,1658,1.176470588
136187,8.68,1736,1.176470588
136338,9.3,1818,1.176470588
136490,9.92,1957,0.784313725
136642,10.54,1939,0.784313725
136793,10.54,1972,1.176470588
136945,11.16,1954,1.176470588
137097,11.16,2088,1.176470588
137250,11.16,2257,1.176470588
137401,11.16,2129,1.176470588
137553,11.78,2218,1.176470588
137705,12.4,2447,1.176470588
137856,13.02,2456,1.176470588
138008,13.64,2490,0.784313725
138160,13.64,2565,0.784313725
138313,14.26,2519,0.784313725
138465,14.26,2348,0.784313725
138616,14.26,2158,0.784313725
138769,13.64,1984,0.784313725
138920,13.64,1800,0.784313725
139072,13.64,1618,0.784313725
139223,13.02,1447,0.784313725
139375,13.02,1253,0.784313725
139526,13.02,1145,0.784313725
139677,13.02,1307,1.176470588
139828,13.02,1520,1.176470588
139980,13.02,1388,1.176470588
140131,13.02,1434,1.176470588
140283,13.02,1505,1.568627451
140435,13.64,1564,1.568627451
140586,14.26,1673,1.960784314
140738,14.88,1688,2.352941176
140891,15.5,1885,2.745098039
141042,16.74,1919,2.745098039
141194,17.98,2091,2.745098039
141345,19.22,2257,2.745098039
141496,19.84,2233,2.352941176
141648,21.08,2428,2.352941176
141800,21.7,2490,2.352941176
141953,22.94,2650,2.352941176
142105,24.18,2706,1.960784314
142256,24.8,2740,0.784313725
142407,25.42,2689,0.784313725
142558,26.04,2689,0.784313725
142709,26.04,2575,0.784313725
142860,26.04,2379,0.784313725
143011,26.04,2195,0.784313725
143164,26.04,2015,0.784313725
143316,25.42,1841,0.784313725
143466,25.42,1664,0.784313725
143618,25.42,1481,0.784313725
143771,25.42,1314,0.784313725
143923,25.42,1124,0.784313725
144074,25.42,973,0.784313725
144226,25.42,891,0.784313725
144377,25.42,946,0.784313725
144530,25.42,1012,0.784313725
144681,25.42,1040,0.784313725
144832,24.8,1054,0.784313725
144982,24.8,1062,0.784313725
145132,24.8,1063,0.784313725
145282,24.8,1066,0.784313725
145432,24.8,1066,0.784313725
145582,24.8,1067,0.784313725
145732,24.8,1046,0.784313725
145882,24.8,1023,0.784313725
146032,24.8,996,0.784313725
146182,24.18,979,0.784313725
146333,24.18,958,0.784313725
146483,24.18,934,0.784313725
146635,23.56,915,0.784313725
146787,22.94,895,0.784313725
146937,22.94,879,0.784313725
147089,22.32,875,0.784313725
147240,21.7,863,0.784313725
147391,21.7,840,0.784313725
147543,21.08,820,0.784313725
147695,20.46,808,0.784313725
147846,19.84,800,0.784313725
147997,19.22,788,0.784313725
148148,18.6,775,0.784313725
148299,17.98,773,0.784313725
148450,17.36,772,0.784313725
148601,16.74,771,0.784313725
148752,15.5,763,0.784313725
148903,14.88,750,0.784313725
149056,14.26,744,0.784313725
149208,13.02,737,0.784313725
149358,12.4,733,0.784313725
149508,11.78,728,0.784313725
149661,11.16,732,0.784313725
149813,10.54,755,0.784313725
149964,9.92,779,0.784313725
150116,9.3,799,0.784313725
150268,9.3,808,0.784313725
150420,8.68,819,0.784313725
150572,8.06,827,0.784313725
150722,7.44,834,0.784313725
150875,6.82,840,0.784313725
151026,6.2,837,0.784313725
151177,4.96,823,0.784313725
151329,4.34,814,0.784313725
151480,3.72,801,0.784313725
151632,2.48,757,0.784313725
151783,1.86,709,0.784313725
151934,1.24,658,0.784313725
152087,1.24,630,0.784313725
152238,0.62,624,0.784313725
152389,0.62,632,0.784313725
152540,0,640,0.784313725
153249,0,632,0.784313725
153299,0.62,916,1.176470588
153451,1.86,866,1.176470588
153601,2.48,761,1.176470588
153752,3.72,743,1.176470588
153904,4.34,994,1.176470588
154056,4.96,1114,1.176470588
154208,5.58,1084,1.176470588
154360,6.2,1278,1.176470588
154511,6.82,1401,1.176470588
154663,7.44,1423,1.176470588
154815,8.06,1560,1.176470588
154967,9.3,1695,1.176470588
155119,9.3,1729,1.176470588
155270,10.54,1860,1.176470588
155421,10.54,1978,1.176470588
155572,11.16,2098,1.176470588
155724,11.78,2140,1.176470588
155874,12.4,2206,1.176470588
156025,13.02,2361,1.176470588
156177,13.02,2428,1.176470588
156328,13.64,2504,1.176470588
156479,14.26,2628,1.176470588
156630,14.88,2694,1.176470588
156781,15.5,2776,1.176470588
156932,15.5,2776,0.784313725
157083,16.12,2776,0.784313725
157234,16.12,2612,0.784313725
157385,15.5,2438,0.784313725
157536,15.5,2249,0.784313725
157687,15.5,2074,0.784313725
157838,15.5,1896,0.784313725
157990,15.5,1727,0.784313725
